x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-9.8000E-03,+1.5382772E+00,+23.2964E-03,-47.5172E-03,-9.8383E-03
-9.7900E-03,+1.5062761E+00,+26.3751E-03,-251.0458E-03,-11.2388E-03
-9.7800E-03,+1.5108266E+00,-57.8446E-03,-251.0458E-03,-9.1904E-03
-9.7700E-03,+1.5103627E+00,+0.0E+00,+418.4102E-03,-13.7473E-03
-9.7600E-03,+1.5189997E+00,+0.0E+00,+3.4262E-03,-11.2202E-03
-9.7500E-03,+1.5276368E+00,-42.7213E-03,-8.8029E-03,-8.1480E-03
-9.7400E-03,+1.4728033E+00,-6.9502E-03,-251.0458E-03,-9.7894E-03
-9.7300E-03,+1.5166000E+00,-46.2978E-03,-147.8066E-03,-10.5048E-03
-9.7200E-03,+1.4866023E+00,+11.7495E-03,-527.0261E-03,-12.6022E-03
-9.7100E-03,+1.5173128E+00,-22.0735E-03,-251.0458E-03,-12.5207E-03
-9.7000E-03,+1.5062761E+00,+0.0E+00,-872.5083E-03,-10.8073E-03
-9.6900E-03,+1.5272742E+00,+12.4747E-03,-251.0458E-03,-6.4451E-03
-9.6800E-03,+1.5211505E+00,+0.0E+00,+46.4427E-03,-6.5456E-03
-9.6700E-03,+1.5297876E+00,+0.0E+00,-251.0458E-03,-7.8899E-03
-9.6600E-03,+1.4741276E+00,+0.0E+00,+391.9249E-03,-9.4783E-03
-9.6500E-03,+1.5062761E+00,+14.6256E-03,-397.3016E-03,-11.7577E-03
-9.6400E-03,+1.4568535E+00,-31.8997E-03,-251.0458E-03,-9.2465E-03
-9.6300E-03,+1.4973902E+00,-17.7718E-03,-73.3277E-03,-8.0335E-03
-9.6200E-03,+1.5062761E+00,+0.0E+00,-251.0458E-03,-10.6914E-03
-9.6100E-03,+1.5062761E+00,+0.0E+00,-251.0458E-03,-8.7045E-03
-9.6000E-03,+1.5221459E+00,+32.8951E-03,+89.4593E-03,-9.3493E-03
-9.5900E-03,+1.5062761E+00,+35.7036E-03,-251.0458E-03,-8.4351E-03
-9.5800E-03,+1.5062761E+00,-66.9456E-03,-251.0458E-03,-10.6782E-03
-9.5700E-03,+1.4822669E+00,-66.9456E-03,-251.0458E-03,-11.0898E-03
-9.5600E-03,+1.5243768E+00,+0.0E+00,-251.0458E-03,-8.7575E-03
-9.5500E-03,+1.5330138E+00,-40.0053E-03,-251.0458E-03,-6.6865E-03
-9.5400E-03,+1.5062761E+00,-66.9456E-03,-251.0458E-03,-11.5937E-03
-9.5300E-03,+1.5168151E+00,-21.0781E-03,+207.6296E-03,-12.1244E-03
-9.5200E-03,+1.4919794E+00,+0.0E+00,-251.0458E-03,-9.3860E-03
-9.5100E-03,+1.4784630E+00,+0.0E+00,-694.1153E-03,-16.5003E-03
-9.5000E-03,+1.5397489E+00,+0.0E+00,-920.5019E-03,-8.2717E-03
-9.4900E-03,+1.5178906E+00,+0.0E+00,-251.0458E-03,-11.0662E-03
-9.4800E-03,+1.5397489E+00,-26.4426E-03,+13.3803E-03,-10.4301E-03
-9.4700E-03,+1.5016919E+00,+0.0E+00,-251.0458E-03,-10.7113E-03
-9.4600E-03,+1.5103289E+00,-58.8400E-03,-251.0458E-03,-13.9175E-03
-9.4500E-03,+1.5062761E+00,+41.5659E-03,-251.0458E-03,-8.5411E-03
-9.4400E-03,+1.5154571E+00,+0.0E+00,-677.5841E-03,-9.0051E-03
-9.4300E-03,+1.5062761E+00,+0.0E+00,-180.8691E-03,-9.6531E-03
-9.4200E-03,+1.5062761E+00,+56.6892E-03,-148.4815E-03,-6.9967E-03
-9.4100E-03,+1.5062761E+00,-27.5305E-03,-251.0458E-03,-11.4996E-03
-9.4000E-03,+1.4952056E+00,+44.8047E-03,-477.6828E-03,-10.2580E-03
-9.3900E-03,+1.5348821E+00,+62.0788E-03,-251.0458E-03,-9.2750E-03
-9.3800E-03,+1.5397489E+00,-54.5383E-03,-251.0458E-03,-9.1242E-03
-9.3700E-03,+1.5249082E+00,+0.0E+00,-175.2172E-03,-8.1721E-03
-9.3600E-03,+1.5532316E+00,+19.9901E-03,+418.4102E-03,-4.4165E-03
-9.3500E-03,+1.5062761E+00,-2.7160E-03,-223.8856E-03,-9.4810E-03
-9.3400E-03,+1.5251908E+00,+0.0E+00,-920.5019E-03,-12.0502E-03
